neuron_id,mean_firing_rate_ifr,mean_firing_rate,cv2_isi,waveform_width,peak_asymmetry,cluster,channel,is_single_unit,session_name,group_name,experiment_name
1,0.918979674366458,0.6016925807097797,0.4673154981839161,16.0,0.06557377049180328,slow_regular,6,1,ESHOCK_03_LOC1,shock,ESHOCK
4,3.5219613959629115,2.105512478051459,0.8247966666811437,9.0,0.03734439834024896,slow_irregular,17,1,ESHOCK_03_LOC1,shock,ESHOCK
5,7.001851786189404,1.778189519188364,0.3945747234093241,17.0,0.07053941908713693,slow_regular,20,1,ESHOCK_03_LOC1,shock,ESHOCK
6,1.620700294336403,0.832163063060995,0.42882137108451107,21.0,0.08713692946058091,slow_regular,26,1,ESHOCK_03_LOC1,shock,ESHOCK
8,5.206785236243892,1.6903912401974248,0.3052024119288294,70.0,0.3431372549019608,slow_regular,28,1,ESHOCK_03_LOC1,shock,ESHOCK
9,2.782038892726491,2.628735346913087,0.6086774865627393,36.0,0.14173228346456693,slow_regular,5,1,ESHOCK_04_LOC1,shock,ESHOCK
12,1.7790065557788868,2.0424074650267214,0.8554942512264332,35.0,0.13618677042801555,slow_irregular,3,1,ESHOCK_04_LOC1,shock,ESHOCK
17,4.362082386691187,3.1991497907323443,0.45915575652836266,75.0,0.3112033195020747,slow_regular,8,1,ESHOCK_04_LOC1,shock,ESHOCK
18,3.724902039181556,2.9083179915748585,0.8078774906503305,40.0,0.15503875968992248,slow_irregular,1,1,ESHOCK_04_LOC1,shock,ESHOCK
22,3.0702175165044645,4.177551862237622,0.9567270939328101,41.0,0.1607843137254902,fast_firing,10,1,ESHOCK_04_LOC1,shock,ESHOCK
27,2.682860446275896,2.1790435367063705,0.8919316703970797,106.0,0.4690265486725664,slow_irregular,4,1,ESHOCK_04_LOC1,shock,ESHOCK
31,5.844445286942806,4.823143582442872,0.5280093746544742,26.0,0.10655737704918032,fast_firing,22,1,ESHOCK_04_LOC1,shock,ESHOCK
32,4.5782357257642445,3.539916861065927,0.4271976080387832,26.0,0.10483870967741936,slow_regular,22,1,ESHOCK_04_LOC1,shock,ESHOCK
33,4.129541881476779,2.4586261813681425,0.4809707641999229,38.0,0.14960629921259844,slow_regular,14,1,ESHOCK_04_LOC1,shock,ESHOCK
34,2.1309794635453123,2.4866118827965042,0.6649292952293343,81.0,0.41968911917098445,slow_regular,5,1,ESHOCK_04_LOC1,shock,ESHOCK
35,2.8363395264297866,1.5839358269209112,0.6570143768232904,59.0,0.2388663967611336,slow_regular,3,1,ESHOCK_04_LOC1,shock,ESHOCK
36,1.7673064075277187,2.6040420809468854,0.8446828795859952,52.0,0.19402985074626866,slow_irregular,11,1,ESHOCK_04_LOC1,shock,ESHOCK
37,3.776656348112053,1.8720239298599302,0.5224716373057956,46.0,0.17164179104477612,slow_regular,17,1,ESHOCK_04_LOC1,shock,ESHOCK
38,3.0932424828542113,2.0736856019172434,0.4446802925463736,58.0,0.2230769230769231,slow_regular,2,1,ESHOCK_04_LOC1,shock,ESHOCK
39,3.4296548407220504,2.67976809657657,0.27083956313666746,47.0,0.17343173431734318,slow_regular,8,1,ESHOCK_04_LOC1,shock,ESHOCK
